traceid,um,probability
T_3993656788,MS_48385,0.9875
T_3993656788,UNKNOWN,0.0125
T_1343914647,MS_32745,0.625
T_1343914647,MS_61658,0.175
T_1343914647,MS_8329,0.1125
T_1343914647,MS_36498,0.0625
T_1343914647,MS_22714,0.0125
T_1343914647,UNKNOWN,0.0125
T_24975122372,MS_52115,0.85
T_24975122372,MS_57925,0.1125
T_24975122372,MS_30554,0.025
T_24975122372,UNAVAILABLE,0.0125
T_24435603720,MS_40770,0.35
T_24435603720,MS_21249,0.3125
T_24435603720,MS_31667,0.1875
T_24435603720,MS_20116,0.0875
T_24435603720,MS_16519,0.0375
T_24435603720,UNKNOWN,0.0125
T_24435603720,USER,0.0125
T_24875334601,MS_72712,0.9875
T_24875334601,MS_44698,0.0125
